id,time,src_ip,dst_ip,protocol,size,src_port,dst_port
36,10:00:47,192.168.1.20,52.86.34.120,TCP,510,58907,80
37,10:28:28,192.168.1.10,8.8.8.8,TCP,569,59061,3306
38,10:19:22,192.168.1.15,142.250.80.46,UDP,219,60934,67
39,10:03:28,192.168.1.5,104.21.45.10,UDP,331,55633,5353
40,10:19:45,192.168.0.100,52.86.34.120,UDP,93,54975,5353
41,10:12:06,192.168.1.20,185.60.216.35,UDP,193,49478,123
42,10:24:34,192.168.0.100,13.107.42.14,TCP,332,50975,25
43,10:15:14,192.168.1.10,52.86.34.120,TCP,1061,60835,25
44,10:20:38,192.168.1.15,52.86.34.120,TCP,133,50212,443
45,10:26:18,10.0.0.5,104.21.45.10,TCP,812,57046,80
46,10:06:45,10.0.0.5,1.1.1.1,TCP,270,63123,80
47,10:18:10,192.168.1.5,104.21.45.10,TCP,945,57375,25
48,10:04:08,192.168.1.15,185.60.216.35,TCP,119,53313,80
49,10:03:33,192.168.1.20,104.21.45.10,TCP,900,56604,25
50,10:14:10,172.16.0.3,8.8.8.8,TCP,684,58789,53
51,10:04:41,192.168.1.15,52.86.34.120,ICMP,57,0,0
52,10:05:45,172.16.0.3,52.86.34.120,TCP,715,61595,443
53,10:19:52,172.16.0.3,8.8.8.8,TCP,277,63299,22
54,10:02:03,192.168.0.100,142.250.80.46,UDP,84,60141,123
55,10:01:33,192.168.1.20,104.21.45.10,TCP,606,60949,53
56,10:22:03,172.16.0.3,13.107.42.14,TCP,917,50769,25
57,10:24:03,192.168.1.20,151.101.1.69,TCP,1176,50659,3306
58,10:26:38,192.168.1.15,1.1.1.1,TCP,359,49579,80
59,10:15:21,172.16.0.3,151.101.1.69,TCP,704,62598,80
60,10:25:34,192.168.0.100,52.86.34.120,UDP,285,56765,5353
61,10:13:25,192.168.1.15,52.86.34.120,TCP,1479,55406,8080
62,10:17:49,192.168.0.100,52.86.34.120,TCP,699,61513,53
63,10:07:26,10.0.0.5,104.21.45.10,TCP,630,60390,22
64,10:00:19,172.16.0.3,52.86.34.120,TCP,222,57666,3306
65,10:15:42,192.168.0.100,13.107.42.14,TCP,516,55492,25
66,10:08:53,172.16.0.3,1.1.1.1,TCP,1407,57339,22
67,10:12:31,192.168.0.100,104.21.45.10,TCP,409,59765,25
68,10:10:24,172.16.0.3,104.21.45.10,UDP,512,53872,123
69,10:11:19,10.0.0.5,185.60.216.35,TCP,221,53422,53
70,10:18:15,192.168.1.5,1.1.1.1,TCP,684,59583,443
71,10:16:03,192.168.1.15,13.107.42.14,UDP,147,59927,53
72,10:29:04,192.168.1.15,13.107.42.14,TCP,821,62557,53
73,10:17:27,172.16.0.3,1.1.1.1,TCP,497,54540,443
74,10:18:26,192.168.1.10,151.101.1.69,UDP,180,60188,5353
75,10:05:03,192.168.1.20,52.86.34.120,TCP,868,62261,3306
76,10:02:38,192.168.1.15,185.60.216.35,UDP,99,51690,67
77,10:21:03,10.0.0.12,151.101.1.69,TCP,1269,58505,443
78,10:28:46,192.168.1.5,8.8.8.8,TCP,1017,64252,8080
79,10:17:49,172.16.0.3,1.1.1.1,ICMP,76,0,0
80,10:00:48,192.168.1.20,13.107.42.14,TCP,1148,59801,8080
81,10:09:41,192.168.1.5,8.8.8.8,UDP,100,50999,53
82,10:07:14,192.168.1.5,142.250.80.46,ICMP,67,0,0
83,10:21:48,172.16.0.3,151.101.1.69,TCP,73,57855,53
84,10:15:53,192.168.0.100,142.250.80.46,UDP,202,51683,53
85,10:04:19,192.168.1.15,52.86.34.120,TCP,748,56062,443
86,10:16:02,192.168.1.20,13.107.42.14,UDP,405,57883,67
87,10:13:06,192.168.1.20,13.107.42.14,TCP,597,50517,22
88,10:12:57,192.168.1.20,13.107.42.14,TCP,1447,54150,25
89,10:20:35,10.0.0.5,185.60.216.35,TCP,426,61703,53
90,10:17:54,10.0.0.5,1.1.1.1,UDP,468,52944,53
91,10:22:38,10.0.0.12,1.1.1.1,TCP,718,53994,80
92,10:09:51,192.168.1.5,151.101.1.69,TCP,1476,62281,8080
93,10:18:04,10.0.0.12,13.107.42.14,TCP,832,53296,8080
94,10:15:46,192.168.0.100,142.250.80.46,TCP,241,53578,443
95,10:04:08,192.168.1.5,52.86.34.120,UDP,469,51964,123
96,10:02:27,192.168.1.10,185.60.216.35,TCP,786,62993,3306
97,10:02:05,192.168.1.10,142.250.80.46,TCP,854,60843,3306
98,10:26:35,172.16.0.3,185.60.216.35,TCP,1495,65323,443
99,10:19:56,192.168.1.10,13.107.42.14,TCP,1449,52407,8080
100,10:08:50,192.168.1.5,151.101.1.69,TCP,721,51329,80
101,10:13:27,192.168.1.10,52.86.34.120,UDP,500,64082,67
102,10:20:56,192.168.0.100,13.107.42.14,TCP,337,59868,443
103,10:06:53,192.168.1.10,52.86.34.120,TCP,1383,53903,25
104,10:27:29,192.168.1.15,1.1.1.1,TCP,1046,53742,3306
105,10:26:40,192.168.1.5,185.60.216.35,TCP,463,57353,3306
106,10:18:17,192.168.0.100,142.250.80.46,UDP,379,52223,123
107,10:06:20,192.168.1.15,151.101.1.69,TCP,594,59933,25
108,10:10:13,192.168.1.10,142.250.80.46,TCP,694,62349,25
109,10:03:44,192.168.1.15,1.1.1.1,TCP,1173,63924,3306
110,10:01:02,10.0.0.12,185.60.216.35,TCP,1010,52236,53
111,10:26:00,192.168.0.100,1.1.1.1,UDP,467,57249,53
112,10:02:38,192.168.1.20,8.8.8.8,TCP,1139,58932,80
113,10:19:26,172.16.0.3,52.86.34.120,UDP,295,53645,53
114,10:17:22,172.16.0.3,1.1.1.1,TCP,709,57045,8080
115,10:15:16,10.0.0.12,104.21.45.10,ICMP,77,0,0
116,10:29:54,10.0.0.12,1.1.1.1,TCP,368,55969,25
117,10:16:19,192.168.1.5,185.60.216.35,TCP,1279,62302,22
118,10:01:54,192.168.1.15,13.107.42.14,TCP,1232,53392,53
119,10:15:08,192.168.1.5,151.101.1.69,TCP,909,61035,53
120,10:18:13,192.168.1.10,185.60.216.35,UDP,91,50441,53
121,10:10:08,192.168.1.5,185.60.216.35,TCP,1401,51135,22
122,10:02:48,192.168.1.10,142.250.80.46,TCP,1464,53213,25
123,10:22:42,192.168.1.20,151.101.1.69,UDP,135,57999,53
124,10:22:41,10.0.0.12,142.250.80.46,TCP,869,65366,3306
125,10:18:50,172.16.0.3,142.250.80.46,UDP,78,65147,67
126,10:21:12,10.0.0.5,104.21.45.10,TCP,949,60879,443
127,10:19:04,192.168.1.15,1.1.1.1,TCP,472,64435,53
128,10:10:52,192.168.0.100,142.250.80.46,TCP,1408,62980,53
129,10:04:40,192.168.1.10,52.86.34.120,TCP,608,62352,3306
130,10:23:27,192.168.1.5,142.250.80.46,UDP,278,50245,123
131,10:04:31,192.168.1.5,8.8.8.8,ICMP,35,0,0
132,10:24:26,192.168.1.10,1.1.1.1,TCP,1459,53789,80
133,10:20:00,10.0.0.12,104.21.45.10,TCP,1157,61288,8080
134,10:27:21,10.0.0.5,1.1.1.1,TCP,1078,58453,443
135,10:04:06,172.16.0.3,1.1.1.1,TCP,1090,64771,25
136,10:04:06,192.168.0.100,142.250.80.46,TCP,729,61511,25
137,10:17:27,192.168.1.10,142.250.80.46,TCP,163,56692,80
138,10:00:14,10.0.0.12,142.250.80.46,ICMP,73,0,0
139,10:29:52,192.168.0.100,104.21.45.10,TCP,793,51764,8080
140,10:02:35,192.168.1.15,13.107.42.14,UDP,416,49743,53
141,10:22:35,192.168.1.20,104.21.45.10,TCP,276,64112,53
142,10:05:11,192.168.1.20,185.60.216.35,UDP,429,52075,5353
143,10:07:05,172.16.0.3,52.86.34.120,TCP,913,52095,8080
144,10:12:35,172.16.0.3,151.101.1.69,UDP,208,55207,123
145,10:03:06,192.168.0.100,142.250.80.46,TCP,809,56170,3306
146,10:19:32,10.0.0.5,185.60.216.35,UDP,359,54711,5353
147,10:12:42,192.168.1.10,8.8.8.8,UDP,100,56760,53
148,10:00:40,192.168.1.20,13.107.42.14,ICMP,71,0,0
149,10:24:03,192.168.1.10,13.107.42.14,TCP,1123,59609,22
150,10:24:50,192.168.1.15,151.101.1.69,UDP,247,52658,123
151,10:08:24,10.0.0.5,52.86.34.120,TCP,1072,55458,25
152,10:04:39,10.0.0.5,13.107.42.14,TCP,507,52123,3306
153,10:15:31,192.168.0.100,185.60.216.35,UDP,208,64169,5353
154,10:27:39,172.16.0.3,142.250.80.46,TCP,1212,57335,53
155,10:24:29,172.16.0.3,151.101.1.69,TCP,1064,53892,53
156,10:15:36,192.168.0.100,8.8.8.8,UDP,416,62168,53
157,10:20:54,172.16.0.3,52.86.34.120,ICMP,56,0,0
158,10:01:52,10.0.0.5,1.1.1.1,UDP,146,59477,67
159,10:02:01,192.168.1.15,151.101.1.69,UDP,170,50475,67
160,10:28:18,10.0.0.12,8.8.8.8,TCP,910,54726,25
161,10:09:45,192.168.1.20,151.101.1.69,UDP,388,61319,53
162,10:07:11,192.168.1.20,52.86.34.120,UDP,476,50758,5353
163,10:15:29,192.168.1.20,185.60.216.35,TCP,423,59238,53
164,10:06:54,192.168.1.15,142.250.80.46,ICMP,66,0,0
165,10:17:42,192.168.1.5,52.86.34.120,UDP,365,65023,5353
166,10:04:15,192.168.1.10,104.21.45.10,TCP,535,57692,3306
167,10:01:08,192.168.1.20,1.1.1.1,UDP,466,60606,5353
168,10:11:23,192.168.1.5,151.101.1.69,TCP,1394,52356,80
169,10:16:58,192.168.1.20,142.250.80.46,UDP,440,58104,123
170,10:17:20,192.168.0.100,151.101.1.69,TCP,495,63806,3306
171,10:28:22,10.0.0.5,13.107.42.14,UDP,345,62284,5353
172,10:26:57,192.168.1.15,52.86.34.120,TCP,373,54411,22
173,10:11:56,192.168.0.100,52.86.34.120,UDP,100,51432,53
174,10:03:30,192.168.1.5,151.101.1.69,TCP,1427,62706,53
175,10:04:24,10.0.0.12,142.250.80.46,TCP,280,62952,80
176,10:25:02,10.0.0.12,1.1.1.1,TCP,1086,62577,53
177,10:21:15,192.168.1.15,104.21.45.10,UDP,307,51953,67
178,10:22:13,10.0.0.12,8.8.8.8,UDP,212,55366,53
179,10:17:49,172.16.0.3,52.86.34.120,UDP,203,55895,123
180,10:17:01,192.168.1.15,151.101.1.69,ICMP,45,0,0
181,10:00:56,192.168.1.15,13.107.42.14,UDP,512,61556,53
182,10:11:39,192.168.0.100,8.8.8.8,TCP,890,57646,443
183,10:03:02,192.168.0.100,142.250.80.46,UDP,370,63256,53
184,10:22:49,192.168.0.100,185.60.216.35,UDP,112,58823,5353
185,10:15:35,192.168.1.20,13.107.42.14,TCP,748,50310,443
186,10:01:10,192.168.1.5,8.8.8.8,ICMP,43,0,0
187,10:06:11,192.168.1.15,8.8.8.8,TCP,1426,61728,8080
188,10:18:43,192.168.1.20,185.60.216.35,UDP,65,62912,53
189,10:05:07,192.168.1.15,151.101.1.69,TCP,955,54045,80
190,10:23:33,192.168.0.100,104.21.45.10,TCP,175,59505,443
191,10:27:31,172.16.0.3,151.101.1.69,ICMP,58,0,0
192,10:13:53,10.0.0.5,151.101.1.69,TCP,92,59847,80
193,10:02:20,192.168.1.20,185.60.216.35,TCP,687,57692,22
194,10:10:49,10.0.0.5,185.60.216.35,TCP,624,62318,53
195,10:03:41,192.168.1.15,151.101.1.69,TCP,292,49160,25
196,10:29:34,192.168.0.100,142.250.80.46,TCP,654,49430,3306
197,10:29:06,10.0.0.12,104.21.45.10,TCP,1110,51249,443
198,10:22:49,10.0.0.12,1.1.1.1,UDP,64,63456,53
199,10:13:19,192.168.1.20,185.60.216.35,TCP,471,62636,443
200,10:24:31,172.16.0.3,151.101.1.69,TCP,278,64218,3306
201,10:11:33,192.168.1.5,185.60.216.35,UDP,411,54316,53
202,10:09:01,192.168.1.10,142.250.80.46,TCP,678,56222,443
203,10:06:10,192.168.1.5,185.60.216.35,TCP,312,52690,443
204,10:00:24,192.168.1.15,185.60.216.35,TCP,1169,59048,443
205,10:02:12,10.0.0.12,13.107.42.14,TCP,1216,61618,8080
206,10:28:16,172.16.0.3,185.60.216.35,UDP,387,49708,53
207,10:03:49,192.168.1.20,151.101.1.69,TCP,295,51691,443
208,10:20:46,192.168.1.20,1.1.1.1,TCP,601,59569,25
209,10:19:41,10.0.0.5,52.86.34.120,TCP,478,49537,22
210,10:13:55,10.0.0.5,104.21.45.10,TCP,1057,54468,3306
211,10:16:07,192.168.1.15,52.86.34.120,TCP,1471,51599,8080
212,10:22:24,10.0.0.5,52.86.34.120,UDP,111,57302,53
213,10:18:00,192.168.1.5,8.8.8.8,TCP,1320,61868,53
214,10:26:02,192.168.1.5,104.21.45.10,UDP,290,50674,67
215,10:18:03,172.16.0.3,1.1.1.1,TCP,1451,57468,443
216,10:16:38,172.16.0.3,13.107.42.14,TCP,314,64153,80
217,10:23:22,192.168.0.100,8.8.8.8,UDP,489,59679,53
218,10:23:57,10.0.0.5,8.8.8.8,TCP,1468,62629,22
219,10:11:08,192.168.1.5,13.107.42.14,TCP,1076,64053,443
220,10:16:15,10.0.0.12,142.250.80.46,UDP,395,65239,5353
221,10:28:42,192.168.0.100,52.86.34.120,TCP,826,56678,53
222,10:22:06,10.0.0.12,8.8.8.8,TCP,434,63448,22
223,10:19:18,192.168.1.10,151.101.1.69,TCP,1151,50489,3306
224,10:04:33,10.0.0.5,1.1.1.1,ICMP,33,0,0
225,10:12:48,10.0.0.5,13.107.42.14,UDP,132,52012,67
226,10:15:58,192.168.1.5,13.107.42.14,TCP,1062,64627,3306
227,10:18:49,10.0.0.5,151.101.1.69,UDP,372,51136,53
228,10:16:20,172.16.0.3,185.60.216.35,UDP,398,56641,53
229,10:25:54,10.0.0.5,52.86.34.120,TCP,641,50099,25
230,10:29:48,192.168.1.5,1.1.1.1,UDP,190,63986,123
231,10:26:20,192.168.1.10,185.60.216.35,UDP,253,50457,123
232,10:18:19,192.168.1.5,13.107.42.14,TCP,1414,55046,22
233,10:19:49,192.168.1.15,52.86.34.120,TCP,1451,63989,80
234,10:14:06,172.16.0.3,104.21.45.10,TCP,1438,54989,25
235,10:21:09,192.168.1.20,1.1.1.1,UDP,270,53050,5353
236,10:12:41,192.168.1.15,185.60.216.35,TCP,1279,57141,443
237,10:08:45,192.168.1.20,142.250.80.46,TCP,164,63509,22
238,10:07:22,172.16.0.3,185.60.216.35,TCP,280,57410,22
239,10:07:00,10.0.0.5,104.21.45.10,TCP,429,57162,80
240,10:19:43,192.168.1.20,1.1.1.1,TCP,154,57819,80
241,10:06:05,192.168.0.100,13.107.42.14,TCP,954,57447,8080
242,10:22:48,192.168.1.20,142.250.80.46,UDP,295,49771,67
243,10:26:35,10.0.0.5,13.107.42.14,ICMP,42,0,0
244,10:01:34,192.168.1.20,142.250.80.46,TCP,1034,57833,80
245,10:18:08,192.168.1.5,142.250.80.46,TCP,1070,55512,53
246,10:08:04,192.168.0.100,104.21.45.10,TCP,919,51667,80
247,10:11:56,10.0.0.12,52.86.34.120,TCP,325,61854,25
248,10:02:53,172.16.0.3,1.1.1.1,TCP,304,52661,53
249,10:25:28,172.16.0.3,8.8.8.8,UDP,142,55056,5353
250,10:00:07,192.168.1.5,104.21.45.10,UDP,471,59351,67
251,10:27:58,192.168.0.100,185.60.216.35,TCP,438,54762,53
252,10:16:45,10.0.0.12,13.107.42.14,TCP,437,60831,8080
253,10:11:42,192.168.1.10,151.101.1.69,TCP,852,65032,80
254,10:13:18,192.168.1.5,142.250.80.46,TCP,121,59802,22
255,10:16:50,192.168.1.10,1.1.1.1,UDP,124,55295,67
256,10:16:07,192.168.0.100,185.60.216.35,TCP,1080,57856,22
257,10:24:30,10.0.0.5,8.8.8.8,TCP,172,55108,25
258,10:02:22,172.16.0.3,52.86.34.120,UDP,140,64335,67
259,10:10:23,10.0.0.5,52.86.34.120,UDP,252,58250,53
260,10:10:40,172.16.0.3,13.107.42.14,TCP,94,50376,443
261,10:26:31,10.0.0.5,8.8.8.8,UDP,202,51480,53
262,10:04:13,10.0.0.12,185.60.216.35,TCP,599,64212,8080
263,10:03:51,192.168.0.100,185.60.216.35,UDP,404,61257,67
264,10:23:31,192.168.1.20,1.1.1.1,TCP,888,58207,25
265,10:20:39,192.168.1.10,13.107.42.14,TCP,1305,50210,25
266,10:19:44,192.168.1.5,1.1.1.1,TCP,693,57946,3306
267,10:27:47,192.168.1.5,104.21.45.10,UDP,313,50324,67
268,10:21:23,192.168.0.100,1.1.1.1,UDP,157,53303,67
269,10:06:58,192.168.1.20,1.1.1.1,UDP,280,64683,5353
270,10:04:19,192.168.1.5,151.101.1.69,TCP,1307,55322,8080
271,10:04:28,10.0.0.12,104.21.45.10,TCP,515,54439,53
272,10:08:15,192.168.0.100,13.107.42.14,ICMP,76,0,0
273,10:02:49,10.0.0.5,52.86.34.120,TCP,743,57542,25
274,10:21:25,192.168.1.15,8.8.8.8,TCP,598,64371,53
275,10:22:43,192.168.1.20,151.101.1.69,TCP,393,55039,22
276,10:01:41,192.168.0.100,185.60.216.35,TCP,478,50143,3306
277,10:21:25,172.16.0.3,104.21.45.10,TCP,1062,54727,3306
278,10:06:12,172.16.0.3,104.21.45.10,TCP,969,63043,443
279,10:15:31,192.168.1.20,185.60.216.35,TCP,908,59160,80
280,10:29:32,172.16.0.3,185.60.216.35,TCP,422,61315,8080
281,10:27:29,192.168.1.15,8.8.8.8,TCP,423,62593,22
282,10:07:24,192.168.1.15,13.107.42.14,TCP,212,59249,443
283,10:22:07,10.0.0.12,1.1.1.1,TCP,67,55374,25
284,10:15:22,192.168.1.20,185.60.216.35,UDP,247,58715,53
285,10:18:08,10.0.0.5,8.8.8.8,TCP,321,64372,80
286,10:00:25,192.168.1.15,13.107.42.14,ICMP,48,0,0
287,10:17:31,172.16.0.3,104.21.45.10,TCP,1458,60868,22
288,10:19:01,10.0.0.12,104.21.45.10,TCP,1042,62985,8080
289,10:27:16,192.168.1.20,13.107.42.14,UDP,132,61558,5353
290,10:24:06,192.168.1.15,8.8.8.8,TCP,1167,49768,22
291,10:16:58,192.168.0.100,185.60.216.35,UDP,159,55728,123
292,10:08:53,192.168.1.20,8.8.8.8,TCP,766,64536,3306
293,10:27:10,10.0.0.12,8.8.8.8,ICMP,69,0,0
294,10:17:11,192.168.1.20,185.60.216.35,TCP,244,49156,22
295,10:11:25,10.0.0.5,142.250.80.46,TCP,512,56727,22
296,10:03:38,10.0.0.12,1.1.1.1,ICMP,68,0,0
297,10:14:01,192.168.1.15,1.1.1.1,UDP,202,53312,53
298,10:21:35,192.168.1.5,185.60.216.35,TCP,1024,54015,53
299,10:06:12,192.168.1.15,8.8.8.8,TCP,247,55908,22
300,10:18:43,192.168.1.5,52.86.34.120,ICMP,56,0,0
301,10:23:43,192.168.1.20,142.250.80.46,UDP,358,58242,123
302,10:09:29,172.16.0.3,52.86.34.120,UDP,406,62839,53
303,10:16:22,192.168.1.20,13.107.42.14,ICMP,45,0,0
304,10:22:19,172.16.0.3,151.101.1.69,UDP,191,51259,123
305,10:10:06,172.16.0.3,151.101.1.69,TCP,316,56725,80
306,10:25:34,172.16.0.3,13.107.42.14,TCP,345,50164,443
307,10:29:09,10.0.0.12,185.60.216.35,TCP,344,53639,443
308,10:15:42,192.168.1.5,185.60.216.35,TCP,1059,54229,8080
309,10:10:13,192.168.0.100,13.107.42.14,UDP,365,60172,5353
310,10:16:45,192.168.1.20,151.101.1.69,TCP,639,63205,8080
311,10:12:03,192.168.0.100,13.107.42.14,TCP,1055,64786,25
312,10:10:18,10.0.0.5,185.60.216.35,TCP,425,61340,8080
313,10:08:44,10.0.0.5,52.86.34.120,TCP,601,60118,25
314,10:15:44,192.168.0.100,104.21.45.10,TCP,952,53612,80
315,10:24:48,192.168.1.5,8.8.8.8,UDP,397,57597,5353
316,10:19:40,192.168.1.20,151.101.1.69,TCP,162,51039,3306
317,10:14:07,172.16.0.3,8.8.8.8,TCP,308,52350,443
318,10:08:14,192.168.0.100,1.1.1.1,UDP,84,53012,5353
319,10:27:59,192.168.1.15,104.21.45.10,TCP,1280,54798,3306
320,10:20:13,192.168.0.100,185.60.216.35,ICMP,42,0,0
321,10:03:23,192.168.1.5,185.60.216.35,TCP,1191,63933,443
322,10:03:38,10.0.0.12,13.107.42.14,TCP,558,62282,53
323,10:27:33,10.0.0.5,1.1.1.1,ICMP,59,0,0
324,10:22:55,192.168.1.10,104.21.45.10,ICMP,60,0,0
325,10:04:59,192.168.1.10,8.8.8.8,ICMP,68,0,0
326,10:01:01,10.0.0.12,13.107.42.14,UDP,399,55976,53
327,10:12:27,192.168.1.20,1.1.1.1,TCP,1445,56185,443
328,10:01:04,192.168.1.5,151.101.1.69,TCP,150,61915,53
329,10:16:01,192.168.0.100,52.86.34.120,ICMP,58,0,0
330,10:09:41,192.168.1.10,185.60.216.35,TCP,198,54818,25
331,10:18:22,192.168.1.5,13.107.42.14,ICMP,71,0,0
332,10:01:26,10.0.0.12,13.107.42.14,UDP,239,61287,67
333,10:22:34,172.16.0.3,185.60.216.35,TCP,651,64366,3306
334,10:06:49,192.168.1.20,1.1.1.1,TCP,647,50062,443
335,10:02:42,192.168.1.15,13.107.42.14,TCP,365,57038,25
336,10:24:15,192.168.1.20,13.107.42.14,TCP,1378,50391,53
337,10:28:12,192.168.1.5,8.8.8.8,TCP,1401,58973,25
338,10:26:10,192.168.1.15,104.21.45.10,TCP,1141,64475,25
339,10:05:25,192.168.1.15,151.101.1.69,TCP,829,54642,22
340,10:00:09,192.168.1.20,185.60.216.35,TCP,972,53873,443
341,10:11:11,10.0.0.12,185.60.216.35,UDP,226,59519,53
342,10:24:56,192.168.1.5,1.1.1.1,UDP,487,55455,67
343,10:15:20,172.16.0.3,13.107.42.14,ICMP,67,0,0
344,10:01:40,192.168.1.10,151.101.1.69,TCP,1362,54411,80
345,10:20:31,172.16.0.3,1.1.1.1,UDP,150,52670,53
346,10:12:57,192.168.0.100,185.60.216.35,TCP,352,63364,8080
347,10:04:58,10.0.0.12,8.8.8.8,TCP,1292,61728,443
348,10:19:34,10.0.0.12,185.60.216.35,TCP,486,64980,8080
349,10:02:45,192.168.1.10,104.21.45.10,ICMP,77,0,0
350,10:07:42,10.0.0.5,8.8.8.8,TCP,1091,58624,80
351,10:24:28,172.16.0.3,185.60.216.35,TCP,1336,56872,53
352,10:26:00,10.0.0.5,13.107.42.14,UDP,71,63703,5353
353,10:18:46,172.16.0.3,185.60.216.35,TCP,132,53352,25
354,10:01:04,10.0.0.12,142.250.80.46,UDP,442,50578,53
355,10:02:46,192.168.1.5,151.101.1.69,TCP,1156,63123,25
356,10:01:40,10.0.0.5,185.60.216.35,TCP,1205,60228,53
357,10:24:23,192.168.1.10,142.250.80.46,UDP,397,51138,5353
358,10:22:59,192.168.0.100,142.250.80.46,TCP,1392,54697,53
359,10:16:49,172.16.0.3,151.101.1.69,UDP,455,52561,67
360,10:27:54,192.168.1.20,151.101.1.69,UDP,270,60851,67
361,10:18:30,10.0.0.12,142.250.80.46,TCP,749,55849,53
362,10:21:42,192.168.1.10,13.107.42.14,TCP,1079,59014,53
363,10:12:59,192.168.0.100,1.1.1.1,UDP,321,49298,67
364,10:27:11,10.0.0.12,52.86.34.120,TCP,868,52948,80
365,10:01:34,172.16.0.3,142.250.80.46,UDP,358,51977,5353
366,10:28:14,172.16.0.3,142.250.80.46,TCP,569,55170,22
367,10:23:12,192.168.1.15,142.250.80.46,TCP,492,58527,25
368,10:00:09,10.0.0.5,151.101.1.69,ICMP,69,0,0
369,10:07:33,192.168.0.100,13.107.42.14,TCP,731,58116,25
370,10:07:00,10.0.0.12,142.250.80.46,TCP,656,50399,80
371,10:08:43,192.168.1.20,151.101.1.69,UDP,235,54323,123
372,10:14:49,192.168.1.5,185.60.216.35,TCP,348,58516,22
373,10:24:16,192.168.1.15,104.21.45.10,ICMP,54,0,0
374,10:11:54,192.168.0.100,8.8.8.8,TCP,921,58230,80
375,10:04:50,10.0.0.5,142.250.80.46,TCP,728,58261,22
376,10:21:43,192.168.1.20,151.101.1.69,TCP,292,64963,8080
377,10:21:10,192.168.0.100,13.107.42.14,TCP,839,53398,80
378,10:11:40,192.168.1.10,142.250.80.46,TCP,225,51027,8080
379,10:08:37,192.168.1.5,8.8.8.8,TCP,484,54455,22
380,10:19:06,10.0.0.12,8.8.8.8,UDP,289,59224,123
381,10:08:20,192.168.1.10,104.21.45.10,TCP,363,52527,25
382,10:22:13,172.16.0.3,8.8.8.8,TCP,310,56934,443
383,10:22:50,192.168.1.20,52.86.34.120,TCP,385,65522,53
384,10:25:08,10.0.0.5,8.8.8.8,TCP,349,63657,8080
385,10:15:12,192.168.1.15,13.107.42.14,ICMP,28,0,0
386,10:05:56,192.168.0.100,142.250.80.46,TCP,1331,63540,80
387,10:05:08,10.0.0.12,1.1.1.1,TCP,1480,52171,80
388,10:27:18,192.168.1.15,151.101.1.69,TCP,1181,55087,3306
389,10:29:26,192.168.1.10,185.60.216.35,UDP,93,63602,5353
390,10:10:40,10.0.0.12,151.101.1.69,TCP,1086,65395,443
391,10:06:45,172.16.0.3,151.101.1.69,TCP,756,61079,53
392,10:18:10,192.168.1.10,185.60.216.35,UDP,508,60437,5353
393,10:07:10,172.16.0.3,52.86.34.120,ICMP,60,0,0
